date,momentum_20,reversal_5,low_volatility_20,volume_price_corr_20,volume_expansion,amihud_liquidity_20,overnight_gap,random_baseline_s143,Volume-Weighted Reversal,Volume-Weighted Reversal Smoothed
2023-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0326672533138257,1.0,1.0,1.0
2023-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0357028732275986,1.0,1.0,1.0
2023-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.043948047800915,1.0,1.0,1.0
2023-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0429106147359137,1.0,1.0,1.0
2023-01-10,1.0,1.0056692679613126,1.0,1.0,1.0,1.0,1.0493446097779169,1.0,1.0,1.0
2023-01-11,1.0,1.0075378167755218,1.0,1.0,1.0,1.0,1.0512943080423096,1.0,1.0,1.0
2023-01-12,1.0,1.0297370167617717,1.0,1.0,1.0,1.0,1.0744575999803998,1.0,1.0,1.0
2023-01-13,1.0,1.0466985907926283,1.0,1.0,1.0,1.0,1.0921558004222902,1.0,1.0,1.0
2023-01-16,1.0,1.0441297558850657,1.0,1.0,1.0,1.0,1.0894754032484513,0.997045773988654,1.0,1.0
2023-01-17,1.0,1.04459107694978,1.0,1.0,1.0,1.0,1.0899567590858592,0.9974862922436245,1.0,1.0
2023-01-18,1.0,1.0415079427142508,1.0,1.0,1.0,1.0,1.086739727011455,0.9945421888476167,1.0,1.0
2023-01-19,1.0,1.0419983901302203,1.0,1.0,1.0,1.0,1.087251474132226,0.9950105200303071,1.0,1.0
2023-01-20,1.0,1.0498231316400144,1.0,1.0,1.0,1.0,1.0954160373616988,1.0024824126862928,1.0,1.0
2023-01-30,1.0,1.036098794495305,1.0,1.0,1.0,1.0,1.0810956641889455,0.9893769607309189,1.0,1.0
2023-01-31,1.0,1.0380672046976476,1.0,1.0,1.0,1.0,1.0831495607347228,0.9912566074536178,1.0,1.0
2023-02-01,1.0,1.0226720541806416,1.0,1.0,1.0,1.0,1.0670858122177884,0.9765556857756519,1.0,1.0
2023-02-02,1.0,1.0046916242487411,1.0,1.0,1.0,1.0,1.0483245078490295,0.9593860652595657,1.0,1.0
2023-02-03,1.0,0.9828621332941421,1.0,1.0,1.0,1.0,1.02554698108435,0.9385409532589435,1.0,1.0
2023-02-06,1.0,0.9863631370123142,1.0,1.003062049650278,1.003062049650278,1.0,1.0292000303496653,0.9418840827332713,1.0,1.0
2023-02-07,0.9917251395402942,0.9786943012594458,0.9917251395402942,0.9952633821818206,0.9952633821818206,0.9917251395402942,1.0211981437285718,0.9345610654208022,0.9917251395402942,1.0
2023-02-08,1.0040008759305663,0.9908087397968127,1.0040008759305663,1.0075829155196747,1.0075829155196747,1.0040008759305663,1.033838701797371,0.9461292155284374,1.0040008759305663,1.0
2023-02-09,0.9968599780164731,0.9837616701847244,0.9968599780164731,1.0004165405570618,1.0004165405570618,0.9968599780164731,1.0264855840798877,0.9393999264375613,0.9968599780164731,1.0
2023-02-10,1.0106053158497554,0.9973264002394198,1.0106053158497554,1.0142109185311097,1.0142109185311097,1.0106053158497554,1.0406394185654957,0.9523529686242258,1.0106053158497554,1.0
2023-02-13,1.0063954550711791,0.9931718552059057,1.0063954550711791,1.0099860379568988,1.0099860379568988,1.0063954550711791,1.036304445253807,0.9483857686233029,1.0063954550711791,1.0
2023-02-14,0.9940661066118204,0.9810045090387916,0.9940661066118204,0.9976127012746728,0.9976127012746728,0.9940661066118204,1.023608681822907,0.936767096702307,0.9940661066118204,1.0
2023-02-15,0.9920121458781958,0.978977536458525,0.9920121458781958,0.9955514124910049,0.9955514124910049,0.9920121458781958,1.0214936795860563,0.9348315284132561,0.9920121458781958,1.0
2023-02-16,0.9713674751022527,0.9586041277042017,0.9713674751022527,0.9748330863729239,0.9748330863729239,0.9713674751022527,1.000235471405458,0.9153768380495829,0.9713674751022527,1.0
2023-02-17,1.0046131231186637,0.991412942322354,1.0046131231186637,1.0081973470621075,1.0081973470621075,1.0046131231186637,1.034469144313205,0.9467061721483678,1.0046131231186637,1.0
2023-02-20,1.0021960109216368,0.9890275899314371,1.0021960109216368,1.0057716111758104,1.0057716111758104,1.0021960109216368,1.0319801981421604,0.9444283848260235,1.0021960109216368,1.0
